,TYPE,Latitude,Longitude
83455,Homicide,49.21681224,-123.101889
83456,Homicide,49.21682095,-123.1439936
83457,Homicide,49.21682162,-123.0800419
83458,Homicide,49.22011895,-123.0389672
83459,Homicide,49.22012297,-123.0416194
83460,Homicide,49.22012831,-123.0987216
83461,Homicide,49.22012911,-123.0420505
83462,Homicide,49.22013937,-123.0427688
83463,Homicide,49.22014909,-123.0446712
83464,Homicide,49.22015808,-123.0412938
83465,Homicide,49.22020331,-123.0734059
83466,Homicide,49.2202176,-123.1831638
83467,Homicide,49.2202257,-123.0658061
83468,Homicide,49.23384558,-123.0655344
83469,Homicide,49.23384558,-123.0655344
83470,Homicide,49.23385244,-123.082486
83471,Homicide,49.23385421,-123.1282724
83472,Homicide,49.233864,-123.065408
83473,Homicide,49.23534719,-123.1923538
83474,Homicide,49.23537082,-123.0264153
83475,Homicide,49.23537082,-123.0264153
83476,Homicide,49.23537082,-123.0264153
83477,Homicide,49.23537402,-123.1556033
83478,Homicide,49.23540714,-123.1867348
83479,Homicide,49.23540777,-123.0280246
83480,Homicide,49.23540777,-123.0280246
83481,Homicide,49.23543529,-123.127962
83482,Homicide,49.23543561,-123.0246756
83483,Homicide,49.23545328,-123.1166637
83484,Homicide,49.23617103,-123.0297501
83485,Homicide,49.23647993,-123.1912295
83486,Homicide,49.23648052,-123.1863604
83487,Homicide,49.23652638,-123.0463259
83488,Homicide,49.23655328,-123.1696716
83489,Homicide,49.236745,-123.0668184
83490,Homicide,49.24367772,-123.0902382
83491,Homicide,49.24368046,-123.1392064
83492,Homicide,49.2436949,-123.0679034
83493,Homicide,49.24470876,-123.0641104
83494,Homicide,49.24470876,-123.0641104
83495,Homicide,49.24470876,-123.0641104
83496,Homicide,49.24470876,-123.0641104
83497,Homicide,49.24472582,-123.0565961
83498,Homicide,49.24472589,-123.0961023
83499,Homicide,49.24541838,-123.0458065
83500,Homicide,49.2454335,-123.038639
83501,Homicide,49.24544236,-123.0871375
83502,Homicide,49.24547284,-123.0659765
83503,Homicide,49.24550922,-123.1013321
83504,Homicide,49.24550922,-123.1013321
83505,Homicide,49.24550922,-123.1013321
83506,Homicide,49.24554183,-123.0902142
83507,Homicide,49.2556186,-123.1013256
83508,Homicide,49.25561935,-123.0993192
83509,Homicide,49.25562303,-123.1012002
83510,Homicide,49.25563844,-123.1054875
83511,Homicide,49.25563975,-123.0951842
83512,Homicide,49.25967749,-123.132072
83513,Homicide,49.25969154,-123.0794882
83514,Homicide,49.26000501,-123.1200265
83515,Homicide,49.26000501,-123.1200265
83516,Homicide,49.26000501,-123.1200265
83517,Homicide,49.2600066,-123.1050997
83518,Homicide,49.26001,-123.1531702
83519,Homicide,49.26001101,-123.1532177
83520,Homicide,49.26001101,-123.1532177
83521,Homicide,49.26001101,-123.1532177
83522,Homicide,49.26001954,-123.1999041
83523,Homicide,49.26002504,-123.2002633
83524,Homicide,49.26002504,-123.2002633
83525,Homicide,49.26004779,-123.1009806
83526,Homicide,49.26079466,-123.1387028
83527,Homicide,49.2609663,-123.1533531
83528,Homicide,49.2611156,-123.1049232
83529,Homicide,49.26123213,-123.1003214
83530,Homicide,49.26125596,-123.1081069
83531,Homicide,49.26125596,-123.1081069
83532,Homicide,49.26126211,-123.0978804
83533,Homicide,49.26139653,-123.0698195
83534,Homicide,49.26143989,-123.0707065
83535,Homicide,49.26188875,-123.0735907
83536,Homicide,49.26189167,-123.1266049
83537,Homicide,49.26189325,-123.1473478
83538,Homicide,49.26189575,-123.1978785
83539,Homicide,49.26191278,-123.1991657
83540,Homicide,49.26192761,-123.2063021
83541,Homicide,49.26196124,-123.2088092
83542,Homicide,49.26196539,-123.0520788
83543,Homicide,49.26196556,-123.0494589
83544,Homicide,49.26521524,-123.0890955
83545,Homicide,49.26526106,-123.0888105
83546,Homicide,49.26527436,-123.1146725
83547,Homicide,49.26532601,-123.1401102
83548,Homicide,49.26533729,-123.1356354
83549,Homicide,49.26544555,-123.1457121
83550,Homicide,49.26554122,-123.2092243
83551,Homicide,49.26556499,-123.1068902
83552,Homicide,49.26557574,-123.1858783
83553,Homicide,49.2655788,-123.1553555
83554,Homicide,49.26559487,-123.1565809
83555,Homicide,49.26559487,-123.1565809
83556,Homicide,49.26560188,-123.1092777
83557,Homicide,49.26560467,-123.0239401
83558,Homicide,49.26623523,-123.1391561
83559,Homicide,49.26623523,-123.1391561
83560,Homicide,49.26623523,-123.1391561
83561,Homicide,49.2662441,-123.1397028
83562,Homicide,49.26919294,-123.0773129
83563,Homicide,49.26934839,-123.0468098
83564,Homicide,49.26934839,-123.0468098
83565,Homicide,49.26934839,-123.0468098
83566,Homicide,49.26934839,-123.0468098
83567,Homicide,49.26935028,-123.094696
83568,Homicide,49.26935272,-123.0508391
83569,Homicide,49.27079591,-123.150955
83570,Homicide,49.27080576,-123.1566015
83571,Homicide,49.27080576,-123.1566015
83572,Homicide,49.2733141,-123.1609673
83573,Homicide,49.27332167,-123.1295443
83574,Homicide,49.27332167,-123.1295443
83575,Homicide,49.27332167,-123.1295443
83576,Homicide,49.27332748,-123.126411
83577,Homicide,49.27332748,-123.126411
83578,Homicide,49.27332748,-123.126411
83579,Homicide,49.27332748,-123.126411
83580,Homicide,49.27357748,-123.1317058
83581,Homicide,49.27357748,-123.1317058
83582,Homicide,49.27609901,-123.1102267
83583,Homicide,49.27609983,-123.2158503
83584,Homicide,49.27609983,-123.2158503
83585,Homicide,49.27609983,-123.2158503
83586,Homicide,49.27610172,-123.0989827
83587,Homicide,49.27682385,-123.0826135
83588,Homicide,49.27682558,-123.1288065
83589,Homicide,49.27682996,-123.0787641
83590,Homicide,49.27683254,-123.1347679
83591,Homicide,49.27683254,-123.1347679
83592,Homicide,49.27683254,-123.1347679
83593,Homicide,49.27742059,-123.050018
83594,Homicide,49.27742095,-123.0440436
83595,Homicide,49.28031399,-123.1355042
83596,Homicide,49.28031616,-123.0984376
83597,Homicide,49.28031702,-123.0984816
83598,Homicide,49.28031952,-123.0698551
83599,Homicide,49.28031965,-123.1312194
83600,Homicide,49.28032038,-123.0986576
83601,Homicide,49.28032287,-123.0987896
83602,Homicide,49.28113596,-123.0618933
83603,Homicide,49.28113596,-123.0618933
83604,Homicide,49.28113596,-123.0618933
83605,Homicide,49.28113967,-123.0319263
83606,Homicide,49.2811467,-123.0914072
83607,Homicide,49.28139486,-123.1196866
83608,Homicide,49.28139486,-123.1196866
83609,Homicide,49.28139567,-123.1022692
83610,Homicide,49.28139567,-123.1022692
83611,Homicide,49.28245092,-123.1182643
83612,Homicide,49.28245092,-123.1182643
83613,Homicide,49.28276102,-123.1176182
83614,Homicide,49.28276102,-123.1176182
83615,Homicide,49.28276102,-123.1176182
83616,Homicide,49.28276102,-123.1176182
83617,Homicide,49.28276102,-123.1176182
83618,Homicide,49.28276102,-123.1176182
83619,Homicide,49.28276102,-123.1176182
83620,Homicide,49.28276102,-123.1176182
83621,Homicide,49.28276102,-123.1176182
83622,Homicide,49.28347674,-123.1091156
83623,Homicide,49.28347674,-123.1091156
83624,Homicide,49.28347674,-123.1091156
83625,Homicide,49.28348335,-123.11473
83626,Homicide,49.28405225,-123.1218123
83627,Homicide,49.28405225,-123.1218123
83628,Homicide,49.28405225,-123.1218123
83629,Homicide,49.28410474,-123.0994912
83630,Homicide,49.28677535,-123.054106
83631,Homicide,49.28677555,-123.0538658
83632,Homicide,49.28677555,-123.0538658
83633,Homicide,49.28678355,-123.0597427
83634,Homicide,49.286788,-123.1253822
83635,Homicide,49.28682758,-123.1182968
83636,Homicide,49.286831,-123.1410558
83637,Homicide,49.28957832,-123.1382206
83638,Homicide,49.28958389,-123.1443315
83639,Homicide,49.28958389,-123.1443315
83640,Homicide,49.28958389,-123.1443315
83641,Homicide,49.29256617,-123.1370724
83642,Homicide,49.29258332,-123.137097
83643,Homicide,49.29258332,-123.137097
83644,Homicide,49.29258332,-123.137097
83645,Homicide,49.29258332,-123.137097
83646,Homicide,49.29258332,-123.137097
83647,Homicide,49.29258332,-123.137097
